ANZSOCGroup,MapDetailName,Region,NumberofVictimisations,NumberofRecords,OccurrenceDayOfWeek,Weapon,YearMonth
AggravatedSexualAssault,Melville.,WaikatoRegion,1,1,Wed,NotStated,1/10/14
AggravatedSexualAssault,Kerepehi.,WaikatoRegion,1,1,Tue,NotStated,1/10/14
AggravatedSexualAssault,Bader.,WaikatoRegion,1,1,Thu,NotStated,1/08/14
AggravatedSexualAssault,Putaruru.,WaikatoRegion,1,1,Sat,NotStated,1/08/14
AggravatedSexualAssault,Kuirau.,BayofPlentyRegion,1,1,Sun,NotStated,1/08/14
AggravatedSexualAssault,StuartSt-FrederickSt.,OtagoRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,StuartSt-FrederickSt.,OtagoRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,Wakari.,OtagoRegion,1,1,Thu,NotApplicable,1/08/14
Non-AggravatedSexualAssault,StuartSt-FrederickSt.,OtagoRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,Cromwell.,OtagoRegion,1,1,Fri,NotStated,1/08/14
AggravatedSexualAssault,Wakari.,OtagoRegion,1,1,Sat,NotStated,1/08/14
AggravatedSexualAssault,MosgielSouth.,OtagoRegion,1,1,Sun,NotStated,1/08/14
AggravatedSexualAssault,TakaniniSouth.,AucklandRegion,1,1,Thu,NotApplicable,1/10/14
AggravatedSexualAssault,Maraenui.,Hawke'sBayRegion,1,1,Thu,NotApplicable,1/10/14
AggravatedSexualAssault,TrenthamSouth.,WellingtonRegion,1,1,Thu,NotApplicable,1/10/14
Non-AggravatedSexualAssault,Seaview.,CanterburyRegion,1,1,UNKNOWN,NotStated,1/11/14
Non-AggravatedSexualAssault,Mokihinui.,WestCoastRegion,1,1,Wed,NotApplicable,1/11/14
Non-AggravatedSexualAssault,TeAwamutuEast.,WaikatoRegion,1,1,Wed,NotStated,1/11/14
AggravatedSexualAssault,Tokorangi-Hiwinui.,Manawatu-WanganuiRegion,1,1,Thu,NotStated,1/11/14
AggravatedSexualAssault,WoolstonWest.,CanterburyRegion,1,1,Fri,NotApplicable,1/11/14
AggravatedSexualAssault,Highfield.,CanterburyRegion,1,1,Sun,NotApplicable,1/11/14
AggravatedSexualAssault,BanksPeninsulaEasternBays.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,Loburn.,CanterburyRegion,1,1,UNKNOWN,NotApplicable,1/11/14
AggravatedSexualAssault,NaenaeSouth.,WellingtonRegion,1,1,Tue,NotApplicable,1/02/15
AggravatedSexualAssault,Belmont.,WellingtonRegion,1,1,Tue,NotApplicable,1/02/15
AggravatedSexualAssault,Edgecumbe.,BayofPlentyRegion,2,1,Wed,NotApplicable,1/08/14
AggravatedSexualAssault,Belmont.,WellingtonRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,Moerewa.,NorthlandRegion,1,1,UNKNOWN,NotStated,1/08/14
AggravatedSexualAssault,NewlandsNorth.,WellingtonRegion,1,1,Sat,NotApplicable,1/08/14
Non-AggravatedSexualAssault,WelcomeBayWest.,BayofPlentyRegion,1,1,Sun,NotApplicable,1/08/14
AggravatedSexualAssault,MatamataSouth.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/08/14
AggravatedSexualAssault,MatamataSouth.,WaikatoRegion,1,1,UNKNOWN,NotStated,1/08/14
Non-AggravatedSexualAssault,Clevedon.,AucklandRegion,1,1,Mon,NotApplicable,1/12/14
AggravatedSexualAssault,Elsthorpe-Flemington.,Hawke'sBayRegion,1,1,Sun,NotApplicable,1/12/14
AggravatedSexualAssault,ParaparaumuBeachNorth.,WellingtonRegion,1,1,Tue,NotApplicable,1/12/14
AggravatedSexualAssault,AshburtonCentralEast.,CanterburyRegion,1,1,Wed,None,1/12/14
AggravatedSexualAssault,Enderley.,WaikatoRegion,1,1,Mon,NotApplicable,1/12/14
AggravatedSexualAssault,Ngahinapouri.,WaikatoRegion,1,1,UNKNOWN,NotApplicable,1/12/14
AggravatedSexualAssault,Lansdowne.,WellingtonRegion,1,1,Thu,NotStated,1/12/14
AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,1,1,Wed,NotStated,1/11/14
Non-AggravatedSexualAssault,AucklandCentralEast.,AucklandRegion,1,1,Mon,NotStated,1/10/14
AggravatedSexualAssault,AucklandCentralWest.,AucklandRegion,1,1,Sun,NotStated,1/01/15
AggravatedSexualAssault,Waiotahi.,BayofPlentyRegion,1,1,Fri,NotStated,1/02/15
AggravatedSexualAssault,OtumoetaiNorth.,BayofPlentyRegion,1,1,UNKNOWN,NotApplicable,1/02/15
AggravatedSexualAssault,Frimley.,Hawke'sBayRegion,1,1,UNKNOWN,NotStated,1/02/15
